Extension,Palabra
4,ANOA
4,ANON
4,ANUO
4,AQUI
4,ASCA
4,ATUN
4,BASE
4,BINA
4,CABE
4,CACO
4,CALI
4,CANO
4,CAPO
4,CHAI
4,CRAC
4,CUNA
4,CUYE
4,DUGO
4,ERGO
4,FOYA
4,GAJE
4,GAJO
4,HOBO
4,HOTO
4,HUSO
4,IPIL
4,OIDO
4,OJAL
4,ROGO
4,SAUZ
4,SEOR
4,TABO
4,TAEL
4,TICO
4,TRUN
4,ZOTE
4,ZURO
5,ABABA
5,ACURE
5,AUTOR
5,AXILA
5,AZERI
5,BANCE
5,BARBO
5,BOLDO
5,BRAGA
5,BROTO
5,BUDIN
5,CASTO
5,CEBRA
5,CERRA
5,DEMAS
5,DOGAL
5,DOTAL
5,EGENO
5,FENOL
5,FIGLE
5,FUCIA
5,GACHE
5,GEMIR
5,GENTE
5,GRANA
5,GRIJA
5,GUASA
5,GUISO
5,HABER
5,HALON
5,HAPAX
5,HECHA
5,HEDER
5,HENRY
5,IRADO
5,JIMIA
5,JIOTE
5,KOPEK
5,LASER
5,LATIN
5,LETRA
5,LINAO
5,LISIS
5,LIUDO
5,MESAR
5,MONJE
5,MULLA
5,NOCHE
5,OBVIO
5,OISLO
5,OLLAR
5,PAHUA
5,PANUL
5,PELLA
5,PESAR
5,PINGO
5,PORCO
5,PRIMA
5,QUARK
5,QUITO
5,REDIL
5,RIERA
5,SESIL
5,SORBA
5,SUERO
5,TALMA
5,TAZAR
5,TENIA
5,TIZNE
5,TOCTE
5,TOLVA
5,TOZAL
5,TREJA
5,TURAR
5,VALSE
5,VARAL
5,VEDAR
5,VELAY
5,VENTA
5,VOTRI
5,YENTE
5,YESCA
5,ZARZA
6,ABIETE
6,ACUNAR
6,ADARGA
6,ADOBIO
6,ADONAI
6,AFASIA
6,AFUERA
6,AFUERO
6,AGUAPE
6,AJOBAR
6,AJORRO
6,ALATES
6,ALAVES
6,ALCEDO
6,ALJAMA
6,AMANTE
6,ANCLAR
6,ANILLO
6,ANISAR
6,APATAN
6,ARELAR
6,ARTINA
6,ASTUTO
6,ATARFE
6,AUSTRO
6,AZTECA
6,BACETA
6,BADIAN
6,BAJETE
6,BALEAR
6,BAZUCA
6,BLINCO
6,BONDAD
6,BOSQUE
6,BREQUE
6,BRONCE
6,BRUJIR
6,BULLON
6,BURRAL
6,CABALA
6,CACEAR
6,CAMERO
6,CARENA
6,CARLIN
6,CASINO
6,CATARO
6,CEILAN
6,CHAGRA
6,CHUECA
6,CHUZAR
6,CICLAN
6,CIERTO
6,CLIMAX
6,COBAYA
6,COGUIL
6,COITAR
6,COPETA
6,COPLON
6,CUNCHU
6,CURTIR
6,DATURA
6,DETASA
6,DISCAL
6,DIVINO
6,EMBAIR
6,ESPATO
6,ESTETA
6,EXTASI
6,FALTAR
6,FISTRA
6,FORMAL
6,FRENTE
6,FULMAR
6,FUNGIR
6,FUSTAL
6,GABEJO
6,GANCHO
6,GOMERO
6,GONETE
6,GRUESA
6,HALIFA
6,HENAZO
6,HOJOSO
6,HUILTE
6,IDUMEO
6,IMILLA
6,INFERO
6,JIJEAR
6,JILOTE
6,LAMBER
6,LANCHO
6,LATRIA
6,LIATON
6,LIFARA
6,LIGADA
6,LLICTA
6,MACEAR
6,MADERO
6,MAMBLA
6,MANGON
6,MASAJE
6,MAULON
6,MECHAR
6,MECIDA
6,MENUDO
6,MERLIN
6,MEZCAL
6,MOLINO
6,MORMON
6,MOSTRO
6,MUDADA
6,NAGUAL
6,OCURSO
6,ODRERO
6,OLEADA
6,OLLADO
6,OROPEL
6,ORZOYO
6,OSADIA
6,PABILO
6,PAMELA
6,PAPAYA
6,PASADA
6,PASIVO
6,PATITO
6,PATUDO
6,PAUSAR
6,PIALAR
6,PILLAN
6,PINGAR
6,PIPIAR
6,PITACO
6,PITERA
6,PITUCO
6,PLACEL
6,POCULO
6,POETAR
6,POLICE
6,POLONO
6,PRIMER
6,PURERA
6,PUTEAR
6,RAPAZA
6,RAPTOR
6,RECIEN
6,REDOLA
6,REFAJO
6,REHALA
6,REPEOR
6,REPISA
6,REPOSO
6,REYUNO
6,RODAJA
6,ROLDON
6,RONDEL
6,ROSADO
6,SALDAR
6,SECULA
6,SERRON
6,SISTRO
6,SONATA
6,TINCAR
6,TIPULA
6,TIRETA
6,TOCONA
6,TOMADO
6,TRIGLA
6,TRIODO
6,TRONCA
6,TROVAR
6,TUATUA
6,URINAL
6,VEJETE
6,VISERA
6,YACARE
6,YESERA
6,ZAFADO
6,ZOCALO
6,ZUTANO
7,ABACIAL
7,ACENDER
7,ACHICAR
7,ACIDULO
7,ADIPSIA
7,AHORITA
7,AHOTADO
7,AJENABO
7,ALANZAR
7,ALDABIA
7,ALFERZA
7,ALGORTO
7,ALJARAZ
7,AMNIOTA
7,ANCHOAR
7,ANTIGUO
7,ARBOLAR
7,ARCONTE
7,ARGENTE
7,ARMABLE
7,ARMAJAL
7,ARPISTA
7,ATEISMO
