Extension,Palabra
4,ABAD
4,ABES
4,ABEY
4,ABIA
4,ABRA
4,ABUR
4,ACAL
4,ACLE
4,ACME
4,ACNE
4,ACRE
4,ACTA
4,ACTO
4,ADAN
4,ADIR
4,ADOR
4,ADRA
4,ADUL
4,AEDA
4,AEDO
4,AETA
4,AFAN
4,AFER
4,AFIN
4,AFRO
4,AFTA
4,AGIL
4,AGIO
4,AGRE
4,AGRO
4,AGUA
4,AGUR
4,AINA
4,AIRE
4,AISA
4,AITE
4,AJAR
4,AJEA
4,AJEO
4,ALAN
4,ALAR
4,ALBA
4,ALBO
4,ALCA
4,ALCE
4,ALEA
4,ALEF
4,ALFA
4,ALGA
4,ALGO
4,ALIM
4,ALLA
4,ALLI
4,ALLU
4,ALMA
4,ALMO
4,ALNA
4,ALNO
4,ALOE
4,ALON
4,ALTA
4,ALTO
4,ALUA
4,ALUD
4,ALZA
4,ALZO
4,AMAN
4,AMAR
4,AMBO
4,AMEL
4,AMEN
4,AMIA
4,AMIN
4,AMIR
4,AMOK
4,AMOL
4,AMON
4,AMOR
4,AMOS
4,AMPO
4,ANAL
4,ANAY
4,ANCA
4,ANDA
4,ANEA
4,ANGU
4,ANIS
4,ANOA
4,ANON
4,ANSA
4,ANSI
4,ANTA
4,ANTE
4,ANUO
4,AOJO
4,APEA
4,APEO
4,APEX
4,APIO
4,APOS
4,APTO
4,APUD
4,AQUI
4,ARAN
4,ARAR
4,ARCA
4,ARCE
4,ARCO
4,ARDA
4,AREA
4,AREL
4,ARIA
4,ARIO
4,ARLO
4,ARMA
4,ARNA
4,ARON
4,ARPA
4,ARRA
4,ARRE
4,ARTA
4,ARTE
4,ARTO
4,ASAR
4,ASAZ
4,ASCA
4,ASCO
4,ASEO
4,ASIN
4,ASIR
4,ASMA
4,ASNA
4,ASNO
4,ASPA
4,ASTA
4,ATAL
4,ATAN
4,ATAR
4,ATEO
4,ATOL
4,ATUN
4,AUCA
4,AUGE
4,AULA
4,AUPA
4,AURA
4,AUTO
4,AVAL
4,AVIO
4,AVOL
4,AXIL
4,AXIS
4,AXON
4,AYER
4,AYME
4,AYUA
4,AZAR
4,AZOE
4,AZOR
4,AZUA
4,AZUD
4,AZUL
4,AZUR
4,AZUT
4,BABA
4,BABI
4,BACA
4,BADA
4,BAGA
4,BAGO
4,BAJA
4,BAJO
4,BALA
4,BALO
4,BARI
4,BARO
4,BASA
4,BASE
4,BATA
4,BATE
4,BATO
4,BAUL
4,BAYA
4,BAYO
4,BAYU
4,BAZA
4,BAZO
4,BEBE
4,BECA
4,BEFA
4,BEFO
4,BEIS
4,BESO
4,BETA
4,BEZO
4,BIBI
4,BICI
4,BIDE
4,BIEN
4,BIES
4,BIFE
4,BIGA
4,BIJA
4,BINA
4,BISO
4,BITA
4,BIZA
4,BLAO
4,BLAS
4,BLOC
4,BOBO
4,BOCA
4,BOCK
4,BODA
4,BODE
4,BODY
4,BOER
4,BOFE
4,BOFO
4,BOGA
4,BOIL
4,BOJA
4,BOJE
4,BOJO
4,BOLA
4,BOLI
4,BOLO
4,BONA
4,BONO
4,BOOM
4,BORO
4,BOTA
4,BOTE
4,BOTO
4,BOYA
4,BOZA
4,BOZO
4,BRAN
4,BREA
4,BREN
4,BRIN
4,BRIO
4,BROA
4,BRUT
4,BUBA
4,BUBI
4,BUCO
4,BUDA
4,BUEN
4,BUEY
4,BUFA
4,BUFE
4,BUFO
4,BUHO
4,BUJE
4,BUJO
4,BULA
4,BULE
4,BULI
4,BULO
4,BUNA
4,BURA
4,BURI
4,BURO
4,BUSO
4,BUYO
4,BUZO
4,CABE
4,CABO
4,CACA
4,CACO
4,CADA
4,CADI
4,CADO
4,CAER
4,CAFE
4,CAID
4,CAIN
4,CAJA
4,CAJI
4,CAJO
4,CALA
4,CALE
4,CALI
4,CALO
4,CAMA
4,CANA
4,CANE
4,CANO
4,CAOS
4,CAPA
4,CAPI
4,CAPO
4,CARA
4,CARI
4,CARO
4,CASA
4,CASI
4,CASO
4,CATA
4,CATE
4,CATO
4,CAUZ
4,CAVA
4,CAVI
4,CAVO
4,CAYA
4,CAYO
4,CAZA
4,CAZO
4,CEBA
4,CEBO
4,CEBU
4,CECA
4,CEDA
4,CEDO
4,CEFO
4,CEJA
4,CEJE
4,CEJO
4,CELA
4,CELE
4,CELO
4,CENA
4,CENI
4,CEPA
4,CEPO
4,CERA
4,CERO
4,CESE
4,CHAI
4,CHAL
4,CHAN
4,CHAO
4,CHAS
4,CHAU
4,CHEF
4,CHIA
4,CHIC
4,CHII
4,CHIN
4,CHIP
4,CHIS
4,CHOZ
4,CHUS
4,CHUT
4,CHUZ
4,CIAN
4,CIAR
4,CIBI
4,CIBO
4,CICA
4,CIEN
4,CIJA
4,CIMA
4,CINA
4,CINC
4,CINE
4,CIPE
4,CIPO
4,CITA
4,CITO
4,CLAC
4,CLAN
4,CLIC
4,CLIN
4,CLIP
4,CLOC
4,CLON
4,CLUB
4,COBA
4,COBO
4,COCA
4,COCO
4,CODA
4,CODO
4,COFA
4,COJA
4,COJO
4,COLA
4,COLE
4,COLO
4,COMA
4,COMO
4,CONO
4,COPA
4,COPE
4,COPO
4,CORA
4,CORI
4,CORO
4,COSA
4,COSO
4,COTA
4,COTE
4,COTI
4,COTO
4,COXA
4,COYA
4,CRAC
4,CRAN
4,CRAS
4,CREA
4,CREP
4,CRIA
4,CRIC
4,CRIN
4,CRIO
4,CROL
4,CRON
4,CRUP
4,CRUZ
4,CUAL
4,CUAN
4,CUBA
4,CUBO
4,CUCA
4,CUCO
4,CUCU
4,CUIN
4,CUIS
4,CUJA
4,CUJE
4,CUJI
4,CULI
4,CULO
4,CUMA
4,CUNA
4,CUPE
4,CUPO
4,CURA
4,CURI
4,CUTE
4,CUTI
4,CUTO
4,CUYA
4,CUYE
4,CUYO
4,CUZO
4,DACA
4,DADA
4,DADO
4,DAGA
4,DALA
4,DAMA
4,DATA
4,DATO
4,DAZA
4,DEAL
4,DEAN
4,DEBE
4,DEBO
4,DEDO
4,DEJA
4,DEJE
4,DEJO
4,DELE
4,DESE
4,DIAL
4,DIEZ
4,DIJE
4,DINA
4,DINO
4,DIOS
4,DITA
4,DIVA
4,DIVO
4,DOCA
4,DOCE
4,DOGA
4,DOGO
4,DOLA
4,DOLO
4,DOMA
4,DOMO
4,DONA
4,DOND
4,DOTE
4,DREA
4,DRIA
4,DRIL
4,DUAL
4,DUBA
4,DUCO
4,DUDA
4,DUGO
4,DUHO
4,DUJO
4,DULA
4,DUMA
4,DUNA
4,DURA
4,DURO
4,ECHO
4,ECUO
4,EDAD
4,EDEN
4,EDIL
4,EFOD
4,EIRA
4,EJEM
4,ELFO
4,ELLE
4,ELLO
4,EMIR
4,ENDE
4,ENEA
4,ENEO
4,ENTA
4,ENTE
4,ENZA
4,ERAL
4,ERAR
4,ERGO
4,ERIA
4,ERIO
4,EROS
4,ERRE
4,ERRO
4,ESCA
4,ESER
4,ESOS
4,ESTE
4,ETER
4,EURO
4,EXIR
4,FABA
4,FABO
4,FACA
4,FADA
4,FADO
4,FAGO
4,FAJA
4,FAJO
4,FALO
4,FAMA
4,FAME
4,FANO
4,FARA
4,FARO
4,FASE
4,FATO
4,FAVO
4,FAYA
4,FEJE
4,FETA
4,FETO
4,FIAR
4,FIAT
4,FICE
4,FIDO
4,FIEL
4,FIFI
4,FIGO
4,FIJA
4,FIJO
4,FILA
4,FILM
4,FILO
4,FIMO
4,FINO
4,FITO
4,FLAN
4,FLEO
4,FLOR
4,FLUX
4,FOCA
4,FOCO
4,FOFO
4,FOJA
4,FOLK
4,FONA
4,FONO
4,FORO
4,FOSA
4,FOSO
4,FOTO
4,FOYA
4,FRAC
4,FRAY
4,FREO
4,FREY
4,FREZ
4,FRIA
4,FRIO
4,FRIZ
4,FRUI
4,FUCO
4,FUEL
4,FUER
4,FUET
4,FUFO
4,FUFU
4,FUGA
4,FUIR
4,FULA
4,FUMA
4,FUMO
4,FURO
4,FUSA
4,FUSO
4,GAFA
4,GAFE
4,GAFO
4,GAGA
4,GAGO
4,GAJE
4,GAJO
4,GALA
4,GALO
4,GAMA
4,GAMO
4,GANA
4,GAON
4,GARO
4,GASA
4,GATA
4,GATO
4,GAYA
4,GAYO
4,GAZA
4,GEMA
4,GENO
4,GETA
4,GIBA
4,GIGA
4,GILI
4,GIRA
4,GIRO
4,GLAS
4,GLIA
4,GOCE
4,GODO
4,GOFO
4,GOGO
4,GOJA
4,GOLA
4,GOLF
4,GOMA
4,GONG
4,GOTA
4,GOZO
4,GRAN
4,GRAO
4,GRAY
4,GRES
4,GREY
4,GRIS
4,GROG
4,GROS
4,GRUA
4,GUAO
4,GUAU
4,GUAY
4,GUIA
4,GUIN
4,GUJA
4,GULA
4,GURA
4,GURI
4,GURO
4,GURU
4,HABA
4,HACA
4,HADA
4,HADO
4,HALA
4,HALE
4,HALL
4,HALO
4,HAMO
4,HATO
4,HAVO
4,HAYA
4,HAYO
4,HAZA
4,HENO
4,HICO
4,HIEL
4,HIGA
4,HIGO
4,HIJO
4,HILA
4,HILO
4,HIPO
4,HITA
4,HITO
4,HOBO
4,HOCE
4,HOGO
4,HOJA
4,HOLA
4,HOME
4,HOMO
4,HOPA
4,HOPO
4,HORA
4,HOTO
4,HOVE
4,HOYA
4,HOYO
4,HUIR
4,HULE
4,HUMO
4,HUNO
4,HUPE
4,HURA
4,HURI
4,HUSO
4,HUTA
4,IBIS
4,IBON
4,ICHO
4,ICOR
4,IDEA
4,IDEM
4,IDEO
4,IDOS
4,IDUS
4,IGLU
4,IJAR
4,ILEO
4,ILLA
4,ILLO
4,IMAM
4,IMAN
4,INCA
4,INDO
4,INGA
4,INRI
4,INTI
4,IOTA
4,IPIL
4,IRIS
4,ISBA
4,ISLA
4,ISMO
4,ITEM
4,IZAR
4,JABA
4,JABI
4,JACA
4,JACO
4,JADA
4,JADE
4,JAEN
4,JAEZ
4,JAMA
4,JANE
4,JARA
4,JARO
4,JASA
4,JATA
4,JATE
4,JATO
4,JAVO
4,JAZZ
4,JEBE
4,JEDA
4,JEFA
4,JEFE
4,JEME
4,JERA
4,JESE
4,JETA
4,JETO
4,JIBE
4,JICO
4,JIFA
4,JIGA
4,JINE
4,JIPA
4,JIPI
4,JIRA
4,JOBO
4,JOCO
4,JOPE
4,JOPO
4,JORA
4,JOSA
4,JOSE
4,JOTA
4,JOTE
4,JOTO
4,JOYA
4,JOYO
4,JUAN
4,JUBA
4,JUBO
4,JUCO
4,JUDO
